Model,MRIP,Test Case,# of Waypoints,Error distance (Source),Error distance (FollowUp),Time to destination (Source),Time to destination (FollowUp),Balancing (Source),Balancing (FollowUp),Distance to the car Follow up,Distance to the car Source,Source exec time,Follow up exec time
purePursuitUSCity,MRIP1_2,37,22,0.918886222,0.961342303,34.24,29.74,0.803244748,0.829322429,31.6227766,31.6227766,20.8041276,22.6989576
purePursuitUSCity,MRIP1_2,38,61,1.992888061,2.017839077,60.06,50.48,0.173532834,0.206506431,31.6227766,31.6227766,26.4462857,27.4057077
purePursuitUSCity,MRIP1_2,39,21,0.915827103,0.898716844,10.59,9.65,0.13509296,0.136427628,31.6227766,31.6227766,14.1352655,17.2427979
purePursuitUSCity,MRIP1_2,40,41,4.851860317,4.933988923,31.32,28.17,1.183073257,1.327406988,31.6227766,31.6227766,20.1709401,22.4042885
purePursuitUSCity,MRIP1_2,41,51,2.833139711,2.640630843,68.86,61.19,1.303086585,1.351914968,31.6227766,31.6227766,28.9763194,30.3915927
purePursuitUSCity,MRIP1_2,42,71,3.776392468,3.746274606,67.53,56.52,2.178034981,2.358375586,31.6227766,31.6227766,28.5894211,28.992787
purePursuitUSCity,MRIP1_2,43,81,11.37313399,12.78115246,92.98,79.99,3.363923882,4.26079053,31.6227766,31.6227766,33.9157087,37.5527308
purePursuitUSCity,MRIP1_2,44,11,0.000493288,0.000488017,2.38,2.38,1.22281E-08,1.30276E-05,31.6227766,31.6227766,11.9185273,15.2066816
purePursuitUSCity,MRIP1_2,45,81,1.297145287,1.175459145,53.97,46.07,1.178077475,1.228130179,31.6227766,31.6227766,25.4179892,26.3885819
purePursuitUSCity,MRIP1_2,46,92,1.297394488,1.208580274,67.62,57.18,0.633192597,0.688514467,31.6227766,31.6227766,28.6425696,29.0346763
purePursuitUSCity,MRIP1_2,47,51,5.496905826,5.498672661,46.46,40.43,0.651474862,0.717799738,31.6227766,31.6227766,23.7692323,25.7172293
purePursuitUSCity,MRIP1_2,48,111,4.62596513,4.792833309,0,0,1.3270813,1.673913737,31.6227766,31.6227766,37.003369,39.8452841
purePursuitUSCity,MRIP1_2,49,61,3.870472996,6.793403991,54.13,47.09,2.951411663,3.761589409,31.6227766,31.6227766,25.5013559,27.8264849
purePursuitUSCity,MRIP1_2,50,72,5.553312409,52.5867555,61.41,52.9,1.720896185,5.908533628,31.6227766,31.6227766,27.355436,39.0989958
purePursuitUSCity,MRIP1_2,51,21,0.004595539,0.004585602,15.33,14.29,2.1481E-11,0.001471064,31.6227766,31.6227766,15.6256834,19.0357063
purePursuitUSCity,MRIP1_2,52,61,1.775597105,1.781882045,58.65,49.9,0.866398294,0.907177854,31.6227766,31.6227766,26.7730551,27.7836924
purePursuitUSCity,MRIP1_2,53,31,4.49717497,4.462097999,38.95,32.77,0.428277666,0.431961874,31.6227766,31.6227766,22.1264947,23.975869
purePursuitUSCity,MRIP1_2,54,41,4.919201706,4.919398123,49.34,41.42,0.443477316,0.487885424,31.6227766,31.6227766,23.3397197,30.7021949
purePursuitUSCity,MRIP1_2,55,51,0.212649503,0.179348316,10.4,9.2,0.063010388,0.065889751,31.6227766,31.6227766,13.6616861,16.6277582
purePursuitUSCity,MRIP1_2,56,11,0.004504473,847.0353734,9.31,8.45,0,0,31.6227766,31.6227766,13.1079426,36.2238654
purePursuitUSCity,MRIP1_2,57,41,2.171940588,2.177392323,23.55,21.29,0.496056846,0.526519159,31.6227766,31.6227766,17.2599104,20.3075901
purePursuitUSCity,MRIP1_2,58,51,1.438525996,1.024530237,54.21,46.2,0.716619528,0.753215129,31.6227766,31.6227766,24.6488158,25.6136895
purePursuitUSCity,MRIP1_2,59,81,22.63218725,22.55915861,60.62,54.79,3.646968118,5.149122008,31.6227766,31.6227766,26.2522786,28.5327391
purePursuitUSCity,MRIP1_2,60,61,0.656741531,0.803603326,52.38,44.74,0.140759622,0.206713841,31.6227766,31.6227766,23.3953616,25.3935035
purePursuitUSCity,MRIP1_2,61,61,3.559850844,3.550752404,66.67,54.71,1.857536716,2.022924201,31.6227766,31.6227766,26.8885152,24.8720515
purePursuitUSCity,MRIP1_2,62,51,22.66128236,22.59598949,33.31,28.89,0.530572776,0.604460342,31.6227766,31.6227766,20.1905709,21.8549836
purePursuitUSCity,MRIP1_2,63,71,1.981331626,2.914903164,79.08,66.65,1.273687485,1.331650054,31.6227766,31.6227766,29.9895393,30.3903311
purePursuitUSCity,MRIP1_2,64,51,3.481709471,3.42841784,37.77,31.87,0.425407873,0.421917908,31.6227766,31.6227766,20.7137414,22.6006934
purePursuitUSCity,MRIP1_2,65,21,2.159440508,1.973000982,24.45,21.16,0.373001543,0.366334832,31.6227766,31.6227766,17.6617311,20.0038691
purePursuitUSCity,MRIP1_2,66,61,2.267216576,1.533169638,69.26,58.68,1.123401352,1.140831564,31.6227766,31.6227766,30.1188006,28.5522758
purePursuitUSCity,MRIP1_2,67,21,1.294907288,0.924964939,16.64,14.94,0.511866542,0.544670223,31.6227766,31.6227766,15.3910781,20.7009038
purePursuitUSCity,MRIP1_2,68,112,4.056858424,3.656192163,58.63,49.69,0.815788603,0.836627877,31.6227766,31.6227766,25.6053517,26.9687804
purePursuitUSCity,MRIP1_2,69,11,0.005400989,0.005391404,15.05,13.15,2.2517E-11,0.000884633,31.6227766,31.6227766,14.9413706,17.3768166
purePursuitUSCity,MRIP1_2,70,52,20.4610692,17.07876291,54.39,54.7,2.839465404,3.198275645,31.6227766,31.6227766,28.6168093,31.4822061
purePursuitUSCity,MRIP1_2,71,11,0.06539235,0.086385541,20.27,19.57,0.030239901,0.02607707,31.6227766,31.6227766,16.2626999,19.2077023
purePursuitUSCity,MRIP1_2,72,51,4.917693487,4.868770442,44.81,39.12,1.231134523,1.307170613,31.6227766,31.6227766,22.4877925,24.1969441
purePursuitUSCity,MRIP1_2,73,41,2.543891392,2.543693209,39.49,36.43,1.02665784,1.099955799,31.6227766,31.6227766,21.065006,23.8047565
purePursuitUSCity,MRIP1_2,74,71,5.853610585,5.498696445,49.44,42.32,1.190925481,1.270683308,31.6227766,31.6227766,23.4088562,25.4556756
